;file;Left;Bottom;Right;Top
1;leestekst_vlees_vijftien_cd;0;0.38;0.5;1
2;leestekst_vlees_zevenhalf_cd;0;0.42;0.5;1
3;leestekst_bamboe_vijftien_cd;0;0.43;0.5;1
4;leestekst_bamboe_zevenhalf_cd;0;0.44;0.5;1
5;leestekst_delft_vijftien_cd;0;0.45;0.5;1
6;leestekst_delft_zevenhalf_cd;0;0.45;0.5;1
7;leestekst_cacao_vijftien_cd;0;0.49;0.5;1
8;leestekst_cacao_zevenhalf_cd;0;0.48;0.5;1
