;file;Left;Bottom;Right;Top
1;leestekst_vlees_vijftien_cd;0;0;0.5;0.38
2;leestekst_vlees_zevenhalf_cd;0;0;0.5;0.42
3;leestekst_bamboe_vijftien_cd;0;0;0.5;0.43
4;leestekst_bamboe_zevenhalf_cd;0;0;0.5;0.44
5;leestekst_delft_vijftien_cd;0;0;0.5;0.45
6;leestekst_delft_zevenhalf_cd;0;0;0.5;0.45
7;leestekst_cacao_vijftien_cd;0;0;0.5;0.49
8;leestekst_cacao_zevenhalf_cd;0;0;0.5;0.48
